CellID,DNA_1,AF488,AF555,AF647,DNA_2,A488_background,A555_background,A647_background,DNA_3,FDX1,CD357,CD1D,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
4060,45019.927710843374,939.3855421686746,332.5903614457831,434.7590361445783,45341.87951807229,529.4939759036145,238.3012048192771,289.6265060240964,28754.277108433736,1625.4096385542168,953.4939759036145,899.9879518072289,1612.710843373494,1719.7831325301204,83,10.86003747881532,9.967085384821463,0.39709772182666714,0.9222222222222223,0.6859504132231405,0.7176286819179328
4061,17701.333333333332,858.0,302.74074074074076,418.0,18279.25925925926,461.3703703703704,212.40740740740742,288.55555555555554,10372.222222222223,2416.1111111111113,951.6296296296297,945.2592592592592,1636.3703703703704,1716.8148148148148,27,8.53038380258058,4.0423903581367595,0.8805886685988509,0.9310344827586207,0.6428571428571429,-0.9468884464356774
4062,26904.36231884058,878.4782608695652,303.0072463768116,400.94202898550725,27782.514492753624,467.94202898550725,209.31884057971016,291.54347826086956,15878.050724637682,2021.0144927536232,902.6231884057971,880.7028985507246,1858.9855072463768,1722.0072463768115,138,16.90459073157237,10.671587759697683,0.7755522228914742,0.9078947368421053,0.696969696969697,-0.19512658425657708
4063,31929.717391304348,999.5217391304348,367.7826086956522,451.8550724637681,32126.246376811596,573.731884057971,267.1159420289855,303.2391304347826,18867.898550724636,1880.8188405797102,912.7608695652174,1037.4782608695652,1904.891304347826,1723.4710144927535,138,16.098877973533284,11.376961093599382,0.707520523768147,0.8734177215189873,0.575,-0.8332755486901195
4064,54953.365853658535,1747.2439024390244,788.560975609756,635.5853658536586,54098.39024390244,1136.3902439024391,608.390243902439,390.3658536585366,44026.170731707316,2242.0975609756097,2279.487804878049,1238.3658536585365,2017.4146341463415,1717.2682926829268,41,8.415843301057931,6.262775903690249,0.6679958646099577,0.9534883720930233,0.8541666666666666,-1.3601246294196834
4065,20559.646739130436,788.4565217391304,275.92391304347825,384.04891304347825,21572.815217391304,435.0923913043478,175.46195652173913,290.5652173913044,12243.744565217392,2226.641304347826,773.304347826087,814.6141304347826,194.22826086956522,1727.320652173913,184,20.22196560463893,11.890163258807465,0.8088735996182442,0.9246231155778895,0.5841269841269842,-0.4706072449979777
4066,43788.40298507463,835.8656716417911,294.2985074626866,396.1194029850746,45005.49253731343,477.4029850746269,211.55223880597015,294.17910447761193,25791.805970149253,1406.3880597014925,1045.7164179104477,824.4925373134329,397.46268656716416,1721.2089552238806,67,10.344746168887752,8.402006407074778,0.5833786074398964,0.8933333333333333,0.6767676767676768,-0.3194996398709463
4067,47004.97402597403,852.6883116883117,313.987012987013,412.68831168831167,47526.53246753247,501.961038961039,218.03896103896105,300.84415584415586,32514.285714285714,1197.0389610389611,897.0,844.3246753246754,507.7402597402597,1721.077922077922,77,10.791962606109275,9.250823351734493,0.5149908983996926,0.8953488372093024,0.7,0.6255174699243605
4068,25276.690140845072,834.2957746478874,306.77464788732397,458.77464788732397,25436.12676056338,460.14084507042253,207.28169014084506,286.2957746478873,14667.154929577464,1871.4084507042253,849.887323943662,920.3802816901408,1008.5774647887324,1720.0704225352113,71,10.492850585892018,8.615785907526002,0.5707697912360724,0.9726027397260274,0.7888888888888889,-0.8887816791042457
4069,23635.655384615384,770.5969230769231,295.10153846153844,397.2307692307692,23904.347692307692,425.4,196.48923076923077,291.0369230769231,13858.516923076922,2038.083076923077,941.5692307692308,898.2830769230769,1109.3076923076924,1725.486153846154,325,23.10751138875865,17.987914194351717,0.6277134893866612,0.9558823529411765,0.7437070938215103,-1.2477168208760272
4070,50019.08163265306,901.3673469387755,309.16326530612247,389.38775510204084,50268.93877551021,514.3061224489796,210.6122448979592,281.61224489795916,28774.183673469386,1574.938775510204,934.0,970.795918367347,1281.2244897959183,1719.8979591836735,49,8.46275728369453,7.7024138137031475,0.41426970761741855,0.9074074074074074,0.6805555555555556,-1.29454260845478
4071,35459.75,948.9342105263158,373.60526315789474,492.2631578947368,36282.01315789474,568.0394736842105,243.23684210526315,293.0131578947368,19503.644736842107,3057.8552631578946,1133.7631578947369,1038.6973684210527,1297.1842105263158,1721.8026315789473,76,10.963923850449504,9.066703711041626,0.5622638092680083,0.926829268292683,0.6909090909090909,-0.4120065475724122
4072,21235.945945945947,720.6283783783783,252.45945945945945,382.7128378378378,22281.64864864865,387.7094594594595,163.03716216216216,287.4155405405405,12563.804054054053,1358.8277027027027,667.4831081081081,767.3040540540541,259.72635135135135,1726.5202702702702,296,21.144138299510086,17.85502128769514,0.5356452960621501,0.9736842105263158,0.7789473684210526,-0.6261609286190972
4073,26029.805194805194,899.6233766233767,301.03246753246754,516.3603896103896,26917.584415584417,440.97727272727275,190.87012987012986,289.9025974025974,15014.756493506493,1621.2792207792209,1223.4642857142858,888.4415584415584,579.8441558441558,1728.6753246753246,308,23.72797609254829,16.6740759921058,0.7114684864740966,0.9535603715170279,0.7877237851662404,-0.12593020783988254
4074,37761.41891891892,1477.054054054054,448.39864864864865,837.3513513513514,37918.62162162162,590.2297297297297,271.55405405405406,310.8581081081081,22233.905405405407,2700.3783783783783,1890.4391891891892,1241.5202702702702,737.5,1724.195945945946,148,15.562392237257269,12.709128811935008,0.5771240397413465,0.8705882352941177,0.5803921568627451,1.0461163021284154
4075,26106.309623430963,1288.9707112970711,386.8493723849372,654.5774058577406,25974.439330543933,527.2175732217573,233.15899581589957,301.73640167364016,14766.246861924687,2687.5355648535565,1617.3723849372384,1063.8284518828452,815.1673640167364,1725.7615062761506,239,20.723064778268718,15.192754116071345,0.6800857358725865,0.8984962406015038,0.6289473684210526,0.8110077912733359
4076,53871.61111111111,1028.7222222222222,377.962962962963,489.22222222222223,53117.11111111111,549.425925925926,257.75925925925924,308.55555555555554,35162.48148148148,1501.7777777777778,1379.2407407407406,919.6666666666666,919.5370370370371,1720.3703703703704,54,9.104878835009217,7.54708686978645,0.5593882154724329,0.9818181818181818,0.84375,0.9173275963757374
